id,position,multiplier,is_captain,is_vice_captain
376,1,1,False,False
306,2,1,False,False
357,3,1,False,False
313,4,1,False,False
13,5,1,False,True
293,6,1,False,False
335,7,1,False,False
142,8,1,False,False
28,9,1,False,False
318,10,2,True,False
40,11,1,False,False
113,12,0,False,False
448,13,0,False,False
475,14,0,False,False
534,15,0,False,False
376,1,1,False,False
306,2,1,False,False
357,3,1,False,False
313,4,1,False,False
7,5,1,False,True
293,6,1,False,False
335,7,1,False,False
142,8,1,False,False
28,9,1,False,False
318,10,2,True,False
40,11,1,False,False
113,12,0,False,False
534,13,0,False,False
475,14,0,False,False
448,15,0,False,False
376,1,1,False,False
306,2,1,False,False
475,3,1,False,False
313,4,1,False,False
7,5,1,False,False
293,6,1,False,False
335,7,1,False,False
142,8,1,False,False
28,9,1,False,True
318,10,2,True,False
40,11,1,False,False
113,12,0,False,False
534,13,0,False,False
357,14,0,False,False
448,15,0,False,False
376,1,1,False,False
306,2,1,False,False
475,3,1,False,False
357,4,1,False,False
7,5,1,False,False
293,6,1,False,False
335,7,1,False,False
225,8,1,False,False
28,9,1,False,True
40,10,1,False,False
318,11,2,True,False
113,12,1,False,False
111,13,1,False,False
313,14,1,False,False
448,15,1,False,False
113,1,1,False,False
306,2,1,False,False
475,3,1,False,False
312,4,1,False,False
7,5,1,False,False
293,6,1,False,False
335,7,1,False,False
225,8,1,False,False
111,9,1,False,False
28,10,1,False,True
318,11,3,True,False
376,12,0,False,False
40,13,0,False,False
357,14,0,False,False
448,15,0,False,False
376,1,1,False,False
306,2,1,False,False
357,3,1,False,False
312,4,1,False,False
448,5,1,False,False
293,6,1,False,False
335,7,1,False,False
111,8,1,False,False
28,9,1,False,True
318,10,2,True,False
210,11,1,False,False
113,12,0,False,False
7,13,0,False,False
475,14,0,False,False
225,15,0,False,False
376,1,1,False,False
306,2,1,False,False
357,3,1,False,False
312,4,1,False,False
448,5,1,False,False
293,6,1,False,False
335,7,1,False,False
111,8,1,False,False
28,9,1,False,True
318,10,2,True,False
210,11,1,False,False
113,12,0,False,False
7,13,0,False,False
475,14,0,False,False
19,15,0,False,False
376,1,1,False,False
306,2,1,False,False
357,3,1,False,False
312,4,1,False,False
448,5,1,False,False
475,6,1,False,False
7,7,1,False,False
19,8,1,False,False
28,9,1,False,True
318,10,2,True,False
210,11,1,False,False
113,12,0,False,False
293,13,0,False,False
335,14,0,False,False
111,15,0,False,False
376,1,1,False,False
306,2,1,False,False
357,3,1,False,False
461,4,1,False,False
261,5,1,False,False
19,6,1,False,False
293,7,1,False,False
335,8,1,False,False
28,9,1,False,True
318,10,2,True,False
210,11,1,False,False
113,12,0,False,False
448,13,0,False,False
312,14,0,False,False
111,15,0,False,False
398,1,1,False,False
448,2,1,False,False
285,3,1,False,False
306,4,1,False,False
357,5,1,False,False
283,6,1,False,True
293,7,1,False,False
19,8,1,False,False
335,9,1,False,False
28,10,1,False,False
318,11,2,True,False
207,12,0,False,False
295,13,0,False,False
346,14,0,False,False
237,15,0,False,False
398,1,1,False,False
448,2,1,False,False
285,3,1,False,False
306,4,1,False,False
357,5,1,False,False
283,6,1,False,True
293,7,1,False,False
19,8,1,False,False
305,9,1,False,False
28,10,1,False,False
318,11,2,True,False
207,12,0,False,False
295,13,0,False,False
346,14,0,False,False
237,15,0,False,False
398,1,1,False,False
448,2,1,False,False
285,3,1,False,False
306,4,1,False,False
357,5,1,False,False
283,6,1,False,True
293,7,1,False,False
19,8,1,False,False
160,9,1,False,False
28,10,1,False,False
318,11,2,True,False
207,12,0,False,False
295,13,0,False,False
346,14,0,False,False
237,15,0,False,False
113,1,1,False,False
285,2,1,False,False
306,3,1,False,False
357,4,1,False,False
448,5,1,False,False
295,6,1,False,False
283,7,1,False,True
293,8,1,False,False
19,9,1,False,False
318,10,2,True,False
28,11,1,False,False
207,12,0,False,False
160,13,0,False,False
346,14,0,False,False
237,15,0,False,False
113,1,1,False,False
448,2,1,False,False
285,3,1,False,False
306,4,1,False,False
357,5,1,False,False
283,6,1,False,True
293,7,1,False,False
19,8,1,False,False
160,9,1,False,False
28,10,1,False,False
318,11,3,True,False
207,12,0,False,False
346,13,0,False,False
295,14,0,False,False
237,15,0,False,False
113,1,1,False,False
448,2,1,False,False
285,3,1,False,False
306,4,1,False,False
357,5,1,False,False
283,6,1,False,True
293,7,1,False,False
335,8,1,False,False
160,9,1,False,False
28,10,1,False,False
318,11,2,True,False
207,12,0,False,False
346,13,0,False,False
439,14,0,False,False
237,15,0,False,False
113,1,1,False,False
313,2,1,False,False
285,3,1,False,False
306,4,1,False,False
357,5,1,False,False
283,6,1,False,True
293,7,1,False,False
335,8,1,False,False
160,9,1,False,False
28,10,1,False,False
318,11,2,True,False
207,12,0,False,False
346,13,0,False,False
439,14,0,False,False
237,15,0,False,False
398,1,1,False,False
26,2,1,False,False
295,3,1,False,False
306,4,1,False,False
