element,position,multiplier,is_captain,is_vice_captain
281,1,1,False,False
357,2,1,False,False
448,3,1,False,False
306,4,1,False,False
19,5,1,False,False
293,6,1,False,False
311,7,1,False,False
346,8,1,False,False
80,9,1,False,False
427,10,1,False,True
318,11,2,True,False
81,12,0,False,False
45,13,0,False,False
342,14,0,False,False
295,15,0,False,False
376,1,1,False,False
285,2,1,False,False
306,3,1,False,False
357,4,1,False,False
340,5,1,False,False
13,6,1,False,False
301,7,1,False,False
233,8,1,False,False
28,9,1,False,True
318,10,2,True,False
237,11,1,False,False
426,12,0,False,False
439,13,0,False,False
112,14,0,False,False
240,15,0,False,False
425,1,1,False,False
306,2,1,False,False
285,3,1,False,False
504,4,1,False,False
293,5,1,False,True
508,6,1,False,False
303,7,1,False,False
19,8,1,False,False
28,9,1,False,False
427,10,1,False,False
318,11,2,True,False
421,12,0,False,False
558,13,0,False,False
365,14,0,False,False
273,15,0,False,False
81,1,1,False,False
26,2,1,False,False
146,3,1,False,False
272,4,1,False,False
357,5,1,False,False
293,6,1,False,False
283,7,1,False,True
19,8,1,False,False
28,9,1,False,False
318,10,2,True,False
210,11,1,False,False
478,12,0,False,False
469,13,0,False,False
195,14,0,False,False
358,15,0,False,False
307,1,1,False,False
357,2,1,False,False
26,3,1,False,False
306,4,1,False,False
146,5,1,False,False
283,6,1,False,False
19,7,1,False,False
335,8,1,False,False
28,9,1,False,True
318,10,2,True,False
210,11,1,False,False
254,12,0,False,False
346,13,0,False,False
430,14,0,False,False
149,15,0,False,False
113,1,1,False,False
146,2,1,False,False
285,3,1,False,False
306,4,1,False,False
357,5,1,False,False
283,6,1,False,True
13,7,1,False,False
111,8,1,False,False
19,9,1,False,False
28,10,1,False,False
318,11,2,True,False
254,12,0,False,False
346,13,0,False,False
295,14,0,False,False
237,15,0,False,False
478,1,1,False,False
306,2,1,False,False
26,3,1,False,False
357,4,1,False,False
285,5,1,False,False
335,6,1,False,False
301,7,1,False,False
7,8,1,False,False
369,9,1,False,False
28,10,1,False,True
318,11,2,True,False
254,12,0,False,False
445,13,0,False,False
594,14,0,False,False
211,15,0,False,False
15,1,1,False,False
306,2,1,False,False
357,3,1,False,False
448,4,1,False,False
146,5,1,False,False
104,6,1,False,False
19,7,1,False,False
311,8,1,False,False
427,9,1,False,False
28,10,1,False,True
318,11,2,True,False
425,12,0,False,False
195,13,0,False,False
486,14,0,False,False
342,15,0,False,False
